I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4937,,1982,1,12,5,48,17.6,6,6,,6,5.8,,,,,HONDURAS,,"HONDURAS:  AMPALA, MASAYA",13.158,-87.589,100,,,,,2,1,,2,,,,,,,,,2,1,,2,,,,
4938,,1982,1,20,4,25,11.6,19,6.3,,6.3,5.6,,,,,INDIA,,INDIA:  LITTLE NICOBAR ISLAND,6.946,94.002,60,,,,,,2,,2,,,,,,,,,,2,,2,,,,
4939,,1982,2,10,16,17,51.5,40,5.5,,,5.5,,,,,INDONESIA,,"INDONESIA:  JAVA, SUKABUMI",-6.863,106.936,60,,,,,17,1,3.5,2,,,,,,,,,17,1,3.5,2,,,,
6461,Tsu,1982,2,24,4,22,40.3,52,5.4,,5.4,5.4,,,,,INDONESIA,,INDONESIA:  NORTHERN SUMATERA,4.374,97.755,60,,,,,,,,,,,,,,,,,,,,,,,,
6512,Tsu,1982,3,11,10,32,27.7,33,6.4,,6.4,6.1,,,,,INDONESIA,,INDONESIA:  SUMBAWA ISLAND REGION,-9.265,118.479,60,,,,,,,,,,,,,,,,,,,,,,,,
4940,Tsu,1982,3,21,2,32,7.7,44,6.7,,6.7,6.4,,,,10,JAPAN,,"JAPAN:  HOKKAIDO, URAKAWA, HIROO",42.158,142.361,30,110,3,,,,,1,2,,,,,,,,,,,,,,,,
7221,,1982,3,28,4,16,52.5,9,3.5,,3.5,,,,,,MEXICO,,MEXICO:  CHIAPAS,17.25,-93.21,150,10,1,,,200,3,,1,,,,,1879,4,1755,4,,,3.3,2,,,,
4941,,1982,3,28,23,24,51.1,95,6.1,,,6.1,,,,6,PERU,,"PERU:  COAST, LUNAHUANA, LIMA, HUANCAYO",-12.69,-76.065,160,3,1,,,,,5,2,,,,,3,1,,,,,5,2,,,,
4942,,1982,4,14,6,36,56.7,33,4.6,,4.6,4.9,,,,,CHINA,,CHINA:  GANSU PROVINCE,36.785,105.55,30,,,,,,,,1,,,,,,,,,,,,1,,,,
4943,,1982,6,7,10,59,40.1,34,7,,7,6.3,,,,6,MEXICO,,"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE",16.558,-98.358,150,9,1,,,,3,,2,,,,,9,1,,,,3,,2,,,,
4944,,1982,6,15,23,24,28.6,10,5.5,,5.5,5.6,,,,7,CHINA,,CHINA:  SICHUAN PROVINCE:  GARZE,31.907,99.931,30,10,1,,,5,1,,1,,,,,10,1,,,5,1,,1,,,,
4945,,1982,6,19,6,21,58,82,6.2,,,6.2,,,,7,EL SALVADOR,,EL SALVADOR:  SAN SALVADOR; GUATEMALA,13.313,-89.339,100,43,1,,,,3,5,2,,,,,43,1,,,,3,5,2,,,,
6601,Tsu,1982,7,23,14,23,53.5,37,6.8,,6.8,6.2,,,,,JAPAN,,"IBARAKI, JAPAN",36.194,141.702,30,,,,,,,,,,,,,,,,,,,,,,,,
4948,,1982,8,5,20,33,52.9,31,7.5,,7.5,6.2,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.597,165.931,170,,,,,,,,,,,,,,,,,,,,,,,,
4949,,1982,8,6,20,40,52.2,46,5.6,,5.6,5.9,,,,,INDONESIA,,INDONESIA:  FLORES ISLANDS:  RUTENG,-8.375,120.577,60,,,,,,,,2,,,,,,,,,,,,2,,,,
4950,,1982,9,29,5,50,32.2,12,5.1,,5.1,5.1,,,,4,HONDURAS,,HONDURAS-GUATEMALA-EL SALVADOR,14.487,-89.121,100,3,1,,,2,1,,2,,3,554,3,3,1,,,2,1,,2,,3,554,3
4952,,1982,10,17,10,56,47.6,16,4.4,,,4.4,,,,7,ITALY,,ITALY:  PERUGIA,43.164,12.586,130,,,,,,,35,4,,,,,,,,,,,,,,,,
4953,,1982,11,16,23,41,21,21,5.5,,5.5,5.6,,,,8,MACEDONIA,,"BALKANS NW:  ALBANIA:  BIER, BERAT, LUSHNJE",40.883,19.59,130,1,1,,,12,1,5,2,,,,,1,1,,,12,1,5,2,,,,
4954,,1982,12,13,9,12,48,5,6,,6,6,,,,8,YEMEN,,YEMEN:  DHAMAR,14.701,44.379,60,2800,4,,,1500,4,2000,4,,4,,,2800,4,,,1500,4,2000,4,,4,,
4957,,1982,12,16,0,40,48.7,36,6.6,,6.6,6.2,,,,,AFGHANISTAN,,AFGHANISTAN:  NORTHEASTERN,36.148,69.011,40,500,3,,,3000,4,1,2,,,,,500,3,,,3000,4,1,2,,,,
4958,Tsu,1982,12,19,17,43,54.8,33,7.7,,7.7,5.9,,,,,TONGA,,TONGA TRENCH,-24.133,-175.864,170,,,,,,,,,,,,,,,,,,,,,,,,
4959,Tsu,1982,12,25,12,28,2.8,33,5.9,,5.9,5.5,,,,,INDONESIA,,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08,60,13,1,,,390,3,1.45,2,1875,4,,,13,1,,,390,3,1.45,2,1875,4,,
6462,Tsu,1982,12,28,6,37,42.5,22,6.1,,6.1,5.9,,,,,JAPAN,,JAPAN:  S. OF HONSHU ISLAND,33.826,139.434,30,,,,,,,,,,,,,,,,,,,,,,,,
7283,Tsu,1983,1,17,12,41,29.7,14,7.2,,7.2,6.1,,,,,GREECE,,GREECE: IONIAN SEA,38.026,20.228,130,,,,,,,,,,,,,,,,,,,,,,,,
4960,,1983,1,24,8,17,39.6,57,6.7,,6.7,6.3,,,,7,MEXICO,,MEXICO:  OAXACA:   SALINA CRUZ,16.147,-95.232,150,,,,,,,,2,,,,,,,,,,,,2,,,,
4962,,1983,2,13,1,40,10.9,16,6.2,,6.2,5.6,,,,8,CHINA,,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE: WUQUA S,39.945,75.135,40,,,,,2,1,,2,,,,,,,,,2,1,,2,,,,
4963,,1983,2,25,18,22,12.9,24,4.7,,,4.7,,,,7,MACEDONIA,,BALKANS NW:  MACEDONIA:  SKOPJE,41.959,21.54,130,12,1,,,,,0.5,1,,,,,12,1,,,,,0.5,1,,,,
4964,,1983,2,26,20,7,49.9,49,5.2,,5.2,5.3,,,,7,TAJIKISTAN,,"TAJIKISTAN:  GARM, KHAZORA",38.841,70.727,40,,,,,,,,3,,,,,,,,,,,,3,,,,
6463,Tsu,1983,3,12,1,36,35.8,17,6.5,,6.5,6,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-4.056,127.924,170,,,,,,,,1,,,,,,,,,,,,1,,,,
4965,Tsu,1983,3,18,9,5,50,89,7.6,,7.6,6.5,,,,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND,-4.883,153.581,170,,,,,,,,2,,,,,,,,,,,,2,,,,
4966,,1983,3,23,23,51,6.5,19,6.2,,6.2,5.8,,,,7,GREECE,,GREECE: VONITSA,38.294,20.262,130,,,,,7,1,,2,160,3,,,,,,,7,1,,2,160,3,,
4967,,1983,3,25,11,57,49.3,33,4.9,,4.9,5.2,,,,,IRAN,,"IRAN:  TEHRAN, DAMAVOND, AMOI",35.953,52.264,140,30,1,,,61,2,5,2,,,,3,30,1,,,61,2,5,2,,,,3
4968,,1983,3,31,13,12,52.6,22,4.9,,4.9,5.5,,,,8,COLOMBIA,,"COLOMBIA:  SW, POPAYAN",2.461,-76.686,160,350,3,,,1200,4,410.9,4,,,,,350,3,,,1200,4,410.9,4,,,,
4971,,1983,4,2,0,32,27.7,33,4.6,,,4.6,,,,5,TURKMENISTAN,,TURKMENISTAN:  KUM-DAG,39.042,48.714,40,,,,,,,5,2,,,,,,,,,,,5,2,,,,
4972,,1983,4,3,2,50,1.1,37,7.3,,7.3,6.5,,,,,COSTA RICA,,"COSTA RICA:  SE, PANAMA: W",8.717,-83.123,100,6,1,,,,2,1,2,,,,,6,1,,,,2,1,2,,,,
4973,,1983,4,4,2,51,34.3,79,6.6,,,6.6,,,,7,INDONESIA,,INDONESIA:  SUMATERA:  BANDA ACEH,5.723,94.722,60,,1,,,100,2,1,2,,,,,,1,,,100,2,1,2,,,,
4974,,1983,4,5,6,50,33.4,33,5.6,,5.6,5.5,,,,,CHINA,,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  WUQUA,40.025,75.26,40,,1,,,,,,1,,,,,,1,,,,,,1,,,,
4975,,1983,4,12,12,7,54.5,104,6.5,,,6.5,,,,,PERU,,PERU:  CHIMBOTE,-4.843,-78.103,160,10,1,,,,,0.5,1,,,,,,,,,,,0.5,1,,,,
4976,,1983,4,22,0,37,37,10,5.9,,5.9,5.9,,,,,THAILAND,,THAILAND:  BANGKOK,14.926,99.023,60,,,,,,,,2,,,,,,,,,,,,2,,,,
4977,,1983,5,2,23,42,37.7,10,6.2,,6.2,6.2,,,,8,USA,CA,"CALIFORNIA:  CENTRAL, COALINGA",36.219,-120.317,150,,,,,45,1,31,4,500,3,,,,,,,45,1,31,4,500,3,,
4978,Tsu,1983,5,26,2,59,59.6,24,7.7,,7.7,6.8,,,,8,JAPAN,,JAPAN:  HONSHU:  AKITA,40.462,139.102,30,4,1,,,324,3,800,4,,,,,104,3,,,324,3,800,4,,,,
6464,Tsu,1983,6,9,12,49,3.8,26,5.9,5.9,5.6,6.3,,,,,JAPAN,,"NOSHIRO, JAPAN",40.249,138.948,30,,,,,,,,,,,,,,,,,,,,,,,,
6465,Tsu,1983,6,21,6,25,27.3,10,6.9,,6.9,6.7,,,,,JAPAN,,JAPAN:  N. HONSHU ISLAND,41.346,139.099,30,,,,,,,,1,,,,,,,,,,,,1,,,,
4980,,1983,7,3,17,14,23.1,33,6.2,,6.2,5.9,,,,9,COSTA RICA,,COSTA RICA:  SAN JOSE,9.652,-83.688,100,2,1,,,60,2,5,2,,,,,2,1,,,60,2,5,2,,,,
4981,,1983,7,5,12,1,27.3,10,6.1,,6.1,5.7,,,,8,TURKEY,,"TURKEY:  NW, BIGA, ERDEK, ISTANBUL",40.324,27.222,140,5,1,,,26,1,,2,,,,,5,1,,,26,1,,2,,,,
4982,,1983,7,12,15,10,3.4,37,6.1,,6.1,6.1,,,,6,USA,AK,ALASKA:  PRINCE WILLIAM SOUND,61.031,-147.286,150,,,,,,,1,2,,,,,,,,,,,1,2,,,,
4983,,1983,7,22,2,41,0.8,41,5,,5,5.6,,,,6,IRAN,,"IRAN:  NW, ZANJIN",36.948,49.18,140,3,1,,,41,1,5,2,75,2,,,3,1,,,41,1,5,2,75,2,,
4984,,1983,8,6,4,52,53.6,10,4.2,,4.2,4.7,,,,,PAKISTAN,,PAKISTAN:  ZIARAT,30.349,67.84,60,,,,,,,,2,25,1,25,1,,,,,,,,2,25,1,,
4985,Tsu,1983,8,6,15,43,51.2,2,7,,7,6.2,,,,6,GREECE,,GREECE:  AEGEAN SEA,40.142,24.766,130,,,,,,,,1,,,,,,,,,,,,1,,,,
7284,,1983,8,8,3,47,57.1,25,5.3,,5.3,5.9,,,,,JAPAN,,JAPAN:  HONSHU:  S COAST,35.5,139.07,30,1,1,,,28,1,,1,,2,,,1,1,,,28,1,,1,,2,,
6549,Tsu,1983,8,17,10,55,54.1,63,6.5,,6.5,6.6,,,,,RUSSIA,,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,55.867,161.287,50,,,,,,,,,,,,,,,,,,,,,,,,
4987,Tsu,1983,8,17,12,17,56,29,6.5,,6.5,6.2,,,,8,PHILIPPINES,,PHILIPPINES:  LUZON,18.231,120.86,170,16,1,,,47,1,2.227,2,,3,,3,16,1,,,471,3,2.227,2,,3,,
4989,,1983,9,10,6,14,22.4,10,5.1,,,5.1,,,,8,SERBIA,,BALKANS NW:  SERBIA,43.246,20.859,130,,,,,,,,2,,,,,,,,,,,,,,,,
4990,,1983,10,3,13,33,35,12,6,,6,5.8,,,,8,JAPAN,,"JAPAN:  MIYAKEJIMA, OSHIMA",33.941,139.513,30,,,,,,,,2,,,,,,,,,,,,2,,,,
4991,Tsu,1983,10,4,18,52,13.3,15,7.3,,7.3,6.4,,,,7,CHILE,,CHILE:  NORTHERN:  COPOAPO-CHANARAL,-26.535,-70.563,160,5,1,,,12,1,1,2,40,1,,,5,1,,,12,1,1,2,40,1,,
4992,,1983,10,16,5,32,28.7,40,6,,6,6,,,,,INDONESIA,,INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI,1.084,121.052,170,,,,,,,,2,20,1,15,1,,,,,,,,2,20,1,15,1
4993,,1983,10,25,0,36,23.4,33,6.1,,6.1,5.8,,,,7,INDONESIA,,INDONESIA:  CENTRAL SULAWESI,1.131,120.858,170,2,1,,,4,1,,2,20,1,4,1,2,1,,,4,1,,2,20,1,4,1
5677,,1983,10,28,14,6,6.5,14,7.3,,7.3,6.2,7.2,,,9,USA,ID,"IDAHO:  BORAH PEAK, CHALLIS, MACKAY",43.974,-113.916,150,2,1,,,2,1,12.5,3,,,,,2,1,,,2,1,12.5,3,,,,
4999,,1983,10,30,4,12,27.1,12,6.9,,6.9,6.1,,,,,TURKEY,,"TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN",40.33,42.187,140,1342,4,,,1142,4,25,4,,4,,,1342,4,,,1142,4,25,4,,4,,
5001,,1983,10,30,16,51,57,27,5.2,,5.2,5.2,,,,6,JAPAN,,"JAPAN:  TOTTORI, YONANGO",35.464,133.899,30,,,,,,,,2,,,,,,,,,,,,,,,,
5002,,1983,11,6,21,9,45.2,19,5.3,,5.3,5.7,,,,7,CHINA,,"CHINA:  E, HEZE-DONGMING, SHANDONG PROVINCE",35.206,115.213,30,34,1,,,2200,4,5,2,3300,4,,,34,1,,,2200,4,5,2,3300,4,,
5004,,1983,11,8,0,49,32.1,10,5,,,5,,,,7,BELGIUM,,BELGIUM,50.696,5.346,120,2,1,,,30,1,50,4,,3,,,2,1,,,30,1,50,4,,3,,
5005,,1983,11,9,16,29,51.6,37,5,,5,5.1,,,,8,ITALY,,"ITALY:  N, PARMA",44.689,10.317,130,,,,,100,2,,2,,,,,,,,,100,2,,2,,,,
5006,,1983,11,16,16,13,    ,12,6.7,,6.7,6.4,,,,8,USA,HI,HAWAII: KAPAPALA,19.43,-155.454,150,,,,,6,1,6.5,3,,,,,,,,,6,1,6.5,3,,,,
5007,Tsu,1983,11,30,17,46,0.6,10,7.6,,7.6,6.6,,,,6,UK TERRITORY,,INDIAN OCEAN:  CHAGOS ARCHIPELAGO:  DIEGO GARCIA,-6.852,72.11,60,,,,,,,,1,,,,,,,,,,,,1,,,,
5009,,1983,12,22,1,2,2.4,26,6.4,,6.4,5.7,,,,5,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  ULAWUN, RABAUL",-5.392,151.868,170,10,1,,,,,25,4,,,,,10,1,,,,,25,4,,,,
5011,,1983,12,22,4,11,29.2,11,6.2,,6.2,6.4,,,,9,GUINEA,,GUINEA:  GAOUAL-KOUMBIA,11.866,-13.529,10,443,3,200,3,1436,4,8,3,4000,4,,,443,3,200,3,1436,4,8,3,4000,4,,
5018,,1983,12,30,23,52,39.9,215,7.2,,,7.2,,,,7,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.372,70.738,40,26,1,,,483,3,3,2,,,,,26,1,,,483,3,3,2,,,,
5019,Tsu,1984,1,8,15,24,13.5,33,6.6,,6.6,6,,,,,INDONESIA,,INDONESIA:  SULAWESI:  W,-2.823,118.806,170,2,1,,,89,2,0.5,1,,,685,3,2,1,,,89,2,0.5,1,,,685,3
5022,,1984,2,1,14,22,7.9,33,5.8,,5.8,5.9,,,,4,AFGHANISTAN,,"AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",34.616,70.484,40,1,1,,,35,1,5,2,,,,,1,1,,,35,1,5,2,,,,
5024,,1984,2,7,21,33,21.4,18,7.5,,7.5,6.6,,,,6,SOLOMON ISLANDS,,SOLOMON ISLANDS:  GUADALCANAL,-10.012,160.469,170,,,,,,,,2,,,,,,,,,,,,2,,,,
6817,Tsu,1984,2,11,8,2,51.5,29,5.4,,5.4,5.3,5.1,,,,GREECE,,GREECE:  MANAGOULI-AIYION,38.396,22.094,130,,,,,,,,1,,,,,,,,,,,,1,,,,
5027,,1984,2,16,17,18,41.6,208,6.1,,,6.1,,,,6,PAKISTAN,,PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI,36.431,70.826,60,4,1,,,13,1,5,2,,,,,4,1,,,13,1,5,2,,,,
5028,,1984,3,19,20,28,38.2,15,7,,7,6.5,,,,9,UZBEKISTAN,,UZBEKISTAN:  GAZLI,40.32,63.35,40,,,,,100,2,5,2,,,,,,,,,100,2,5,2,,,,
6466,Tsu,1984,3,24,9,44,2.6,44,7,,7,6.1,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.117,148.192,50,,,,,,,,,,,,,,,,,,,,,,,,
5029,,1984,3,27,20,6,33.2,28,6.6,,6.6,5.8,,,,8,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  KARKAR,-4.647,145.805,170,,,,,11,1,,2,,3,,,,,,,11,1,,2,,3,,
5030,,1984,4,24,21,15,19,8,6.1,,6.1,5.7,6.2,,,8,USA,CA,CALIFORNIA:  CENTRAL:  MORGAN HILL,37.32,-121.698,150,,,,,27,1,8,3,,,,,,,,,27,1,8,3,,,,
5035,,1984,4,29,5,3,    ,12,5.3,,5.3,5.2,,,,8,ITALY,,ITALY:  CENTRAL:  :PERUGIA-ASSISSI-GUBBIO,43.26,12.558,130,3,1,,,200,3,25,4,,,,,3,1,,,200,3,25,4,,,,
5036,,1984,5,7,17,49,41.6,10,5.8,,5.8,5.5,,,,8,ITALY,,ITALY:  S CENTRAL:  ABRUZZO,41.765,13.898,130,3,1,,,100,2,5,2,,,,,3,1,,,100,2,5,2,,,,
5038,,1984,5,11,10,41,49.9,14,5.2,,5.2,5.2,,,,8,ITALY,,ITALY:  S CENTRAL:  ABRUZZO,41.831,13.961,130,3,1,,,63,2,,2,,,,,3,1,,,63,2,,2,,,,
5039,,1984,5,13,12,45,55.8,30,5.1,,5.1,5.1,,,,7,BOSNIA-HERZEGOVINA,,BOSNIA-HERZEGOVINA:  LJUBINJE; CROATIA:  DUBROVNIK,42.967,17.734,130,1,1,,,,,,2,,,,,1,1,,,,,,2,,,,
6652,Tsu,1984,6,13,2,29,25.3,41,5.5,,5.5,5.5,,,,,JAPAN,,"JAPAN:  TORI SHIMA, OKINAWA",31.448,140.036,30,,,,,,,,,,,,,,,,,,,,,,,,
5040,,1984,6,24,11,17,11.9,24,6.7,,6.7,6,,,,5,DOMINICAN REPUBLIC,,DOMINICAN REPUBLIC:  SANTO DOMINGO,17.984,-69.338,90,5,1,,,,,,1,,,,,5,1,,,,,,1,,,,
9868,,1984,7,19,6,56,10.4,13,4.7,,4.7,5,5.4,,,,UK,,UNITED KINGDOM:  WALES,52.878,-4.198,120,,,,,,1,,1,,,,,,,,,,1,,1,,,,
5041,Tsu,1984,8,6,19,6,38.3,46,6.7,,6.7,6.3,,,,6,JAPAN,,JAPAN:  KYUSHU:  NOBEOKA,32.386,131.945,30,20,1,,,,,,2,,,,,20,1,,,,,,2,,,,
5043,,1984,8,27,6,41,26.2,33,5.2,,5.2,5.1,,,,,INDONESIA,,INDONESIA:  N SUMATERA:  TARUTUNG,1.761,99.075,60,,,,,123,3,1,2,415,3,,,,,,,123,3,1,2,415,3,,
5044,,1984,9,7,0,44,41.7,13,4.7,,4.7,5.1,,,,8,SERBIA,,BALKANS NW:  SERBIA,43.314,20.957,130,,,,,2,1,,2,,,,,,,,,2,1,,2,,,,
5046,,1984,9,13,23,48,49.9,10,6.1,,6.1,6,,,,6,JAPAN,,JAPAN:  HONSHU:  CENTRAL: MT ONTAKE,35.789,137.488,30,29,1,,,,,43,4,,,,,29,1,,,,,43,4,,,,
5047,,1984,9,18,13,26,1.8,10,6.4,,6.4,5.3,,,,8,TURKEY,,"TURKEY:  E, ERZURUM, OLUR-SENKAYA",40.885,42.219,140,3,1,,,38,1,,2,75000,4,,,3,1,,,38,1,,3,75000,4,,
6467,Tsu,1984,9,18,17,2,44.3,48,6.9,,6.9,6.6,,,,,JAPAN,,JAPAN:  HONSHU ISLAND,34.006,141.5,30,,,,,,,,,,,,,,,,,,,,,,,,
5049,,1984,10,9,4,30,42.4,27,4.5,,4.5,5,,,,7,GREECE,,GREECE:  MESSINA,37.013,21.757,130,,,,,1,1,,2,,3,,,,,,,1,1,,3,,3,,
5050,,1984,10,18,9,46,24.6,60,5.3,,,5.3,,,,,TURKEY,,"TURKEY:  E, SENKAYA",40.545,42.403,140,3,1,,,35,1,,3,75000,4,,,3,1,,,35,1,,3,75000,4,,
5051,,1984,10,18,15,30,23,33,5.1,,5.1,5.4,,,,6,USA,WY,"WYOMING:  DOUGLAS, MEDICINE BOW",42.375,-105.72,150,,,,,,,,1,,,,,,,,,,,,1,,,,
5052,,1984,10,26,20,22,21.8,33,6.1,,6.1,6,,,,7,TAJIKISTAN,,"TAJIKISTAN:  DZHIRGATAL, GARM",39.155,71.328,40,,,,,,,,2,,2,,2,,,,,,,,2,,2,,
6330,Tsu,1984,12,28,10,37,53.7,33,7,,7,6.2,,,,,RUSSIA,,RUSSIA:  KAMCHATKA,56.2,163.4,50,,,,,,,,,,,,,,,,,,,,,,,,
5053,,1984,12,30,23,33,37.7,23,5.6,,,5.6,,,,,INDIA,,"INDIA:  ASSAM, CACHAR DISTRICT",24.641,92.891,60,20,1,,,100,2,,3,,,,,20,1,,,100,2,,3,,,,
5054,,1985,1,26,3,6,57.8,5,6.9,,6.9,6,,,,7,ARGENTINA,,"ARGENTINA:  WEST CENTRAL, MENDOZA, LA LIGUA",-33.053,-68.467,160,6,1,,,238,3,5,2,12000,4,12000,4,6,1,,,238,3,5,2,12000,4,,
5055,,1985,2,2,20,52,34.2,37,5.3,,5.3,5.2,,,,,IRAN,,"IRAN:  S, FIRUZABAD-JAHROM",28.399,52.997,140,1,1,,,80,2,,2,1500,4,,,1,1,,,80,2,,2,1500,4,,
5056,Tsu,1985,3,3,22,47,9.5,40,8,8,7.8,6.7,,,,8,CHILE,,"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",-33.132,-71.708,160,180,3,,,2575,4,1500,4,,4,,,180,3,,,2575,4,1500,4,,4,,
5059,Tsu,1985,3,16,14,54,0.7,13,6.3,,6.3,6.3,,,,6,GUADELOUPE,,GUADELOUPE,17.013,-62.448,90,,,,,6,1,,1,,,,,,,,,6,1,,1,,,,
5060,,1985,3,17,10,41,38.4,33,6.6,,6.6,5.9,,,,7,CHILE,,"CHILE:  VALPARAISO, VINA DEL MAR",-32.663,-71.551,160,1,1,,,,,,2,,,,,1,1,,,,,,2,,,,
5061,,1985,3,18,19,49,45.8,33,6.5,,6.5,6,,,,5,PHILIPPINES,,"PHILIPPINES:  PAGADIAN,  ZAMBOANGA",7.758,123.544,170,2,1,,,25,1,,2,30,1,,,2,1,,,25,1,,2,30,1,,
5062,,1985,4,9,1,56,59.4,38,7.5,,7.5,6.3,,,7,6,CHILE,,"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO",-34.131,-71.618,160,2,1,,,,2,,2,,,,,2,1,,,,2,,,,,,
5063,Tsu,1985,4,13,1,6,0.1,99,6.2,,,6.2,,,,,INDONESIA,,"INDONESIA:  DENPASAR, BALI",-9.245,114.185,60,,,,,,,,2,,2,,,,,,,,,,2,,2,,
5064,,1985,4,18,5,52,52.8,5,5.8,,5.8,5.7,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,25.926,102.871,30,23,1,,,300,3,1,2,,,,,23,1,,,300,3,1,2,,,,
5066,,1985,4,24,1,7,14.5,33,6.1,,6.1,5.6,,,,7,PHILIPPINES,,"PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO",16.498,120.815,170,6,1,,,11,1,,2,,,,,6,1,,,11,1,,2,,,,
5067,,1985,4,30,18,14,12.7,27,5.5,,5.5,5.5,,,,6,GREECE,,GREECE:  MAGNISIA,39.266,22.81,130,,,,,,,,1,7,1,,,,,,,,,,1,7,1,,
5068,,1985,5,10,15,35,50.5,27,7.1,,7.1,6.3,,,,8,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",-5.599,151.045,170,1,1,,,,,1,2,,,,,1,1,,,,,1,2,,,,
5069,Tsu,1985,7,3,4,36,51.7,46,7.2,,7.2,6.3,,,,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL,-4.439,152.828,170,,,,,,,1,2,,,,,,,,,,,1,2,,,,
5070,,1985,7,29,7,54,44,99,6.6,,,6.6,,,,8,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT",36.19,70.896,40,5,1,,,38,1,2,2,,,,,5,1,,,38,1,2,2,,,,
5071,,1985,8,21,11,26,28.7,57,6.1,,,6.1,,,,,PERU,,PERU:  COAST:  CHIMBOTE,-9.159,-78.887,160,,,,,100,2,,2,60,2,,,,,,,100,2,,2,60,2,,
5072,,1985,8,23,12,41,56.1,7,7.5,,7.5,6.4,,,,7,CHINA,,CHINA:  S XINJIANG:  WUQUA-SHUFU,39.431,75.224,40,71,2,,,162,3,5,2,,3,,,71,2,,,162,3,5,2,,3,,
5074,,1985,9,15,2,42,54.8,10,6.3,,6.3,5.9,,,,,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,-4.13,136.049,170,10,1,,,7,1,,2,,,,,10,1,,,7,1,,2,,,,
5076,Tsu,1985,9,19,13,17,47.3,28,8.1,,8.1,6.8,,,,9,MEXICO,,MEXICO:  MICHOACAN:  MEXICO CITY,18.19,-102.533,150,9500,4,,,30000,4,4000,4,,4,,,9500,4,,,30000,4,4000,4,,4,,
5078,Tsu,1985,9,21,1,37,13.4,31,7.6,,7.6,6.3,,,,6,MEXICO,,MEXICO:  SW COAST:  MEXICO CITY,17.802,-101.647,150,,2,,,,,,2,,,,,,2,,,,,,2,,,,
5079,,1985,9,27,3,39,8.5,32,6.9,,6.9,6.2,,,,7,SOLOMON ISLANDS,,"SOLOMON ISLANDS:  HONIARA, GUADACANAL",-9.829,159.854,170,,,,,,,,1,,3,,,,,,,,,,1,,3,,
5080,,1985,9,28,14,50,15.2,7,5,,,5,,,,7,MACEDONIA,,BALKANS NW:  MACEDONIA:  DEMIR KAPIJA-NEGOTINO,41.581,22.254,130,,,,,16,1,,2,500,3,,,,,,,16,1,,2,500,3,,
